Código,Producto,P. Costo,P. Venta,P. Mayoreo,Departamento,Existencia,Inv. Mínimo,Inv. Máximo,Tipo de Venta
10,TAQUETE EXPAN TROP C/GANCHO M8 X 60 P/BROCA 10MM CN 075030010,$8.39,$15.00,$14.00,TORNILLOS,6,2,6,UNIDAD
10003,BROCA A VELOCIDAD 11/64 HSS,$11.95,$18.00,$16.00,TORNILLOS,4,2,5,UNIDAD
100195,PUNTA INDIVIDUAL PH2 2 TRUPER EXPERT 100195,$6.86,$10.00,$8.00,TORNILLOS,14,5,15,UNIDAD
100820,PUNTA DE IMPACTO PH2x2 TRUPER EXPERT 100820,$12.80,$15.00,$14.00,TORNILLOS,5,2,5,UNIDAD
100821,PUNTA D/CRUZ PH2 IMPACTO LARGO 3 TRUPER EXPERT 100821,$20.00,$25.00,$24.00,TORNILLOS,5,2,5,UNIDAD
1.01222E+19,TORNILLO DE ACOPLAR PARA WC TA,$10.20,$14.00,$11.00,PLOMERIA,0,2,5,UNIDAD
102792,MANGO DE MADERA 36 PARA ZAPAPICOS Y TALACHOS DE 4 A 7LB TRUPER 102792,$135.00,$185.00,$183.50,HERRAMIENTAS,6,2,6,UNIDAD
10553,AZADON JARDINERO CLASSIC MANGO DE MADERA 54 TRUPER 10553,$119.00,$165.00,$163.50,HERRAMIENTAS,6,2,6,UNIDAD
1.07913E+13,TAPON PARA SWITCH PORCELANA 30A MOD. 730 IUSA CYL 1716269,$8.51,$12.00,$10.00,ELECTRICIDAD,10,1,5,UNIDAD
10881014C,BROCA A VELOCIDAD 7/32 135 H79 326016,$18.21,$30.00,$25.00,TORNILLOS,5,1,5,UNIDAD
11,CONTRA P/LAVABO DE CRISTALOVALIN PUSH ONSUN T11,$89.00,$120.00,$115.00,PLOMERIA,1,2,4,UNIDAD
114,NIPLE CUERDA CORRIDA 1 1/4 ARXFLUX,$16.52,$22.00,$20.00,ELECTRICIDAD,9,15,20,UNIDAD
115,NIPLE CUERDA CORRIDA 1/2 ACERO,$4.08,$8.00,$0.00,ELECTRICIDAD,14,10,15,UNIDAD
116,NIPLE CUERDA CORRIDA 3/4 ACERO,$6.38,$12.00,$0.00,ELECTRICIDAD,13,10,15,UNIDAD
11GN,CONTRA P/LAVABO PUSH TIPO HONGO COLOR NEGRO ONSUN 11GN,$129.00,$173.00,$170.00,PLOMERIA,2,2,4,UNIDAD
12,CONEXION TEE TERM TTC 3/8 IUSA 312056 CYL 1313136,$23.67,$33.00,$31.00,PLOMERIA,5,2,5,UNIDAD
1.2082E+11,SWITCH REDONDO C/LUZ 125V 13A STEREN BTS-19 ED,$10.71,$16.00,$15.00,ELECTRICIDAD,7,2,4,UNIDAD
120X160,BOLSA NEGRA P/BASURA 120 X160CM,$20.00,$26.00,$25.00,JARCERIA,3,10,10,UNIDAD
12162,PUNTAS POZIDRIV PZ2 LARGO 2 TRUPER EXPERT 12162,$10.00,$13.00,$12.00,TORNILLOS,5,2,5,UNIDAD
12171,PUNTAS PLANAS 1/4X2 1 PZA TRUPER EXPERT 12171,$10.00,$13.00,$12.00,TORNILLOS,4,2,5,UNIDAD
124,PASTILLA TERMO ENCHU 1X30A IUSA EDISON 124,$70.15,$91.00,$88.00,ELECTRICIDAD,5,10,10,UNIDAD
125,PASTILLA TERMO ENCHU 1X30A SQUARED EDISON 125,$139.50,$185.00,$180.00,ELECTRICIDAD,1,10,10,UNIDAD
126,PASTILLA TERMOMAGNETICA 1X30A BTICINO EDISON 126,$105.00,$145.00,$140.00,ELECTRICIDAD,1,3,3,UNIDAD
127,PIJA #12 2,$0.60,$2.00,$0.00,TORNILLOS,3000,1000,1000,UNIDAD
128,PLACA 1 MODULO DORADA SAMY EDISON,$5.60,$10.00,$0.00,ELECTRICIDAD,10,10,15,UNIDAD
129,PLACA 1 MODULO MARFIL TRADIZIONE IUSA EDISON 129,$9.35,$13.00,$12.00,ELECTRICIDAD,5,10,15,UNIDAD
12940,DADO MAGNÉTICO 3/8 EXPERT TRUPER 12940,$12.00,$16.00,$15.00,TORNILLOS,5,2,5,UNIDAD
12972,SEPARADO DE LOSETA 5/64 INDIVIDUAL TRUPER 12972,$0.18,$0.50,$0.48,HERRAMIENTAS,200,10,200,UNIDAD
13,CONEXION CAMPANA NIPLE 3/8 X 1/2 IUSA 311981 CYL 1313105,$19.52,$28.00,$26.00,PLOMERIA,7,2,5,UNIDAD
131,PLACA 2 MODULOS DORADA SAMY EDISON 131,$5.60,$10.00,$0.00,ELECTRICIDAD,10,10,15,UNIDAD
1311101,VALVULA DE PASO 3/8 X 1/2 IUSA 311873 CYL 1311101,$86.92,$115.00,$113.00,PLOMERIA,2,1,2,UNIDAD
1311129,VALVULA DE PASO 3/8 X 1/2 ROSCABLE IUSA 311877 CYL 1311129,$92.02,$122.00,$120.00,PLOMERIA,3,1,3,UNIDAD
1313104,CONEXION CAMPANA NIPLE 3/8 X 3/8 IUSA 311980 CYL 1313104,$14.94,$20.00,$19.00,PLOMERIA,5,2,5,UNIDAD
1313108,CONEXION CODO P/ESTUFA 3/8 X 3/8 IUSA 312014 CYL 1313108,$20.01,$27.00,$26.00,PLOMERIA,5,2,5,UNIDAD
1313116,CONEXION NIPLE TERM 3/8 X 1/4 IUSA 311991 CYL 1313116,$10.89,$16.00,$15.00,PLOMERIA,5,2,5,UNIDAD
1313117,CONEXION NIPLE TERM 3/8 X 3/8 IUSA CYL 1313117,$12.15,$17.00,$16.00,PLOMERIA,5,2,5,UNIDAD
1313118,CONEXION NIPLE TERM 3/8 X 1/2 IUSA 311993 CYL 1313118,$19.67,$27.00,$26.00,PLOMERIA,6,2,6,UNIDAD
1313145,CONEXION TUERCA CONICA 3/8 IUSA 301050 CYL 1313145,$7.95,$13.00,$11.00,PLOMERIA,6,2,6,UNIDAD
132,PLACA 2 MODULOS MARFIL TRADIZIONE IUSA EDISON 132,$9.35,$13.00,$12.00,ELECTRICIDAD,10,10,15,UNIDAD
133,POLIDUCTO FLEX 1/2 100M NARANJA TURBOFLEX EDISON,$1.87,$4.00,$2.40,ELECTRICIDAD,199,500,500,UNIDAD
134,POLIDUCTO FLEX 3/4 50M NARANJA TURBOFLEX EDISON,$3.08,$5.00,$4.00,ELECTRICIDAD,90,250,250,UNIDAD
134000330,CINCHOS DE PLASTICO TRANSPARENTES PARA AMARRE 18 CM CN 134000330,$0.37,$1.50,$1.00,TORNILLOS,200,100,300,UNIDAD
135,PERICO EGA MASTER 12,$400.00,$550.00,$500.00,HERRAMIENTAS,7,7,7,UNIDAD
136,PERICO URREA 10,$280.00,$350.00,$300.00,HERRAMIENTAS,3,3,3,UNIDAD
137,PERICO URREA 12,$380.00,$500.00,$450.00,HERRAMIENTAS,5,5,5,UNIDAD
139,REDUCCION ALUMINIO 1 1/4 A 1/2,$12.65,$20.00,$0.00,ELECTRICIDAD,12,10,20,UNIDAD
14,CONEXION CAMPANA NIPLE 3/8 X 1/4 IUSA 311979 CYL 1313103,$11.31,$16.00,$15.00,PLOMERIA,5,2,6,UNIDAD
140,REDUCCION ALUMINIO 1-1/4 A 1,$17.57,$28.00,$27.00,ELECTRICIDAD,7,9,10,UNIDAD
141,REDUCCION ALUMINIO 1 A 3/4,$11.56,$19.00,$18.00,ELECTRICIDAD,15,15,15,UNIDAD
